availability_365,reviews_per_month,number_of_reviews,minimum_nights,calculated_host_listings_count,latitude,longitude,churned,room_type_Hotel room,room_type_Private room,room_type_Shared room,churn_predicted
211,0.85,105,32,2,45.52058,-73.57687,0,False,False,False,0
0,2.44,305,31,2,45.54153,-73.60434,1,False,False,False,0
2,0.17,20,31,2,45.46571,-73.56967,0,False,False,False,1
253,0.09,8,31,2,45.49183,-73.64012,0,False,True,False,1
89,0.57,71,31,2,45.51767,-73.55659,0,False,False,False,1
35,0.76,35,31,2,45.5302,-73.57939,0,False,False,False,1
179,1.43,175,31,4,45.51046,-73.55474,0,False,False,False,0
119,1.72,206,31,4,45.51024,-73.55477,0,False,False,False,0
162,0.23,26,2,1,45.47387,-73.61359,0,False,False,False,1
2,1.43,177,31,6,45.52389,-73.5932,0,False,False,False,1
201,1.04,125,32,1,45.54048,-73.64542,0,False,False,False,0
206,0.23,29,32,1,45.53272,-73.60055,0,False,False,False,1
179,0.56,69,31,2,45.51838,-73.55921,0,False,False,False,1
220,0.55,68,31,1,45.51743,-73.58041,0,False,False,False,0
279,0.28,33,60,1,45.46744,-73.57063,0,False,False,False,1
141,0.27,27,31,1,45.56754,-73.57873,0,False,False,False,1
217,0.96,116,31,19,45.53088,-73.57879,0,False,False,False,0
219,2.32,275,31,19,45.53024110199951,-73.57671609216055,0,False,False,False,0
215,1.62,198,31,19,45.52827,-73.57763,0,False,False,False,0
17,0.72,86,4,1,45.53181,-73.5803,0,False,False,False,1
365,0.03,3,100,1,45.53881,-73.58013,0,False,False,False,0
2,0.09,11,60,21,45.47302,-73.6081,0,False,False,False,1
231,1.52,49,4,2,45.4968728,-73.58711699999999,0,False,False,False,0
70,0.68,83,32,1,45.50081,-73.63579,0,False,False,False,1
99,0.07,8,31,2,45.54609,-73.6086,0,False,False,False,1
179,0.09,7,31,4,45.49181,-73.57567,0,False,False,False,1
2,0.35,43,32,1,45.56761,-73.65219,0,False,False,False,1
43,2.62,319,1,6,45.539979,-73.606578,0,False,True,False,0
281,1.46,177,31,6,45.52455,-73.59508,0,False,False,False,0
299,0.21,20,32,1,45.44477,-73.82831,0,False,False,False,0
0,1.65,177,1,1,45.49012,-73.5798,1,False,False,False,1
0,0.23,28,1,13,45.50536,-73.56337,1,False,False,False,1
362,0.15,18,90,21,45.47311,-73.60779,0,False,False,False,0
124,0.41,15,31,1,45.56567,-73.58314,0,False,False,False,1
128,0.26,31,31,11,45.50769,-73.56964,0,False,False,False,1
2,0.17,21,60,21,45.47339,-73.60651,0,False,False,False,1
202,0.3,36,32,1,45.55383,-73.58711,0,False,False,False,1
21,1.25,148,4,1,45.52134,-73.58678,0,False,False,False,1
365,0.07,8,31,1,45.50139,-73.57851,0,False,False,False,0
2,0.8,95,2,1,45.53573,-73.60439,0,False,False,False,1
0,0.21,25,31,1,45.55035,-73.60706,1,False,True,False,1
364,2.19,258,32,1,45.49716,-73.56162,0,False,True,False,0
365,0.2,23,32,16,45.52716,-73.57465,0,False,False,False,0
226,2.03,240,31,19,45.52021,-73.57217,0,False,False,False,0
51,0.36,42,31,1,45.52611,-73.60427,0,False,True,False,1
365,0.04,5,32,18,45.51715,-73.65627,0,False,False,False,0
2,0.03,2,32,18,45.51508,-73.65732,0,False,False,False,1
365,0.0,0,31,2,45.54375936578212,-73.54591232309834,1,False,True,False,0
341,0.8,92,31,1,45.55825,-73.53093,0,False,False,False,0
293,0.96,115,5,1,45.49128,-73.57939,0,False,False,False,0
310,0.02,2,180,11,45.51276,-73.56641,0,False,False,False,1
